city_name,latitude,temperature_Kelvin,humidity,cloudiness,wind_speed
Deputatskiy,69.3,285.1,80,90,1.37
Nanortalik,60.14,280.7,76,45,2.87
Kisangani,0.52,305.3,46,76,0.9
Waingapu,-9.65,292.9,83,0,4.4
Gore,8.15,295.8,57,98,1.3
Coffs Harbour,-30.3,284.18,37,4,3.6
Waitati,-45.75,284.26,65,100,3.13
Sao Gabriel da Cachoeira,-0.13,297.15,100,90,1.0
Termoli,42.0,293.44,95,1,0.89
Moissala,8.34,301.4,69,91,1.32
Bria,6.54,301.1,71,100,0.34
Yabassi,4.46,305.8,52,77,0.74
Neringa,55.69,291.15,68,0,3.1
Naryan-Mar,67.67,293.3,61,75,3.45
Mazatlan,23.22,300.27,83,75,1.72
Mitu,36.2,305.0,11,0,7.89
Shieli,44.18,313.6,8,0,7.53
Ariquemes,-9.91,296.3,92,67,0.79
Aksu,52.04,302.15,28,0,7.0
Mineral Wells,32.81,295.93,94,1,2.87
Umea,63.83,291.15,52,0,5.7
Morondava,-20.3,296.7,67,0,4.48
Tiverton,50.9,292.63,60,75,5.1
Laguna,16.17,298.15,100,40,0.97
Bafata,12.17,303.9,67,99,1.4
Coihaique,-45.58,273.58,100,40,1.5
Bayan,36.1,290.2,54,56,2.33
Erzin,36.95,300.78,65,75,2.1
Frederikshavn,57.44,295.37,62,14,2.24
Aroysund,59.18,295.86,72,20,2.6
Razam,18.45,302.7,76,98,3.0
Brae,60.4,285.58,76,75,5.1
Artesia,32.84,295.54,64,1,2.1
Ewa Beach,21.32,298.3,65,40,4.6
Kraljevo,43.72,298.15,41,40,2.1
Sidi Ali,36.1,295.9,82,9,4.38
Lagoa Vermelha,-28.21,288.8,90,64,2.34
Terrace,54.52,286.64,87,90,3.6
Ravar,31.27,310.2,7,0,6.43
Pokhara,28.21,287.9,99,99,2.43
Northam,-31.65,287.15,62,0,3.6
